key,language,translation
msg_noCtg,br,N’eus kataloj ebet kavet.
msg_errCreateStud,br,Fazi e krouiñ skolier. Pleer adkregiñ.
msg_na,br,N’eus ket disponabl
pgH_studMgmt,br,Merañ ar skolier
pgH_studSel,br,Dibab skolier
rpt_selStudRpt,br,Sklaerioù war ur skolier dibabet: {{name}}
NIV_desc0,br,Kenderc’h senior
NIV_desc1,br,Klasa 1
NIV_desc2,br,Klasa 2
NIV_desc3,br,Klasa 3
NIV_desc4,br,Klasa 4
NIV_desc5,br,Klasa 5
language_list,br,"{""br"": ""Brezhoneg"",""fr"": ""Français"", ""de"": ""Deutsch"", ""en"": ""English""}"
inf_welcome,de,Willkommen in unserer Anwendung
news,de,Neuigkeiten: Auswahl mehrerer Sprachen (Englisch und Französisch) hinzugefügt. Momentan nur auf der Studentenseite.
frm_name,de,Nachname
frm_first,de,Vorname
frm_level,de,Stufe
frm_birthDt,de,Geburtsdatum
frm_chooseLvl,de,Wählen Sie eine Klasse
frm_prof,de,Professoren
frm_createStud,de,Schüler erstellen
frm_addStud,de,Neuen Schüler hinzufügen
frm_srchPlcHldr,de,Suche nach Namen oder Vorname...
opt_all,de,Alle
tbH_name,de,Nachname
tbH_first,de,Vorname
tbH_level,de,Stufe
tbH_birthDt,de,Geburtsdatum
tbH_prof,de,Professoren
msg_req,de,Dieses Feld ist erforderlich
msg_noInfo,de,Keine Informationen zum Schüler verfügbar.
msg_chosenStud,de,Ausgewählter Schüler
msg_noProf,de,Keine zugewiesenen Professoren
msg_loadStuds,de,Lade Schülerdaten...
msg_loadErr,de,Fehler beim Laden. Bitte versuchen Sie es erneut.
msg_selStud,de,Bitte wählen Sie einen Schüler aus.
msg_noStud,de,Kein Student gefunden.
msg_chooseTest,de,Tests Auswahl:
msg_ctg,de,Catalogue Verwaltung
msg_chosenCtg,de,ausgewählten catalogue
msg_noCtg,de,No catalogue gefunden.
msg_errCreateStud,de,Fehler beim Schüler hinfügen. Please try again.
msg_na,de,Nicht available
pgH_studMgmt,de,Schülerverwaltung
pgH_studSel,de,Schülerauswahl
rpt_selStudRpt,de,Berichte des ausgewählten Schüler: {{name}}
NIV_desc0,de,Vorschule
NIV_desc1,de,1. Klasse
NIV_desc2,de,2. Klasse
NIV_desc3,de,3. Klasse
NIV_desc4,de,4. Klasse
NIV_desc5,de,5. Klasse
language_list,de,"{""de"": ""Deutsch"", ""fr"": ""Français"",  ""en"": ""English"", ""br"": ""Brezhoneg""}"
